ID,score_tag,agreement,subjectivity,confidence,irony,Happy,Fear,Sad,Bored,Angry,Excited,Class
1241,P,DISAGREEMENT,OBJECTIVE,94,NONIRONIC,0.0680645849,0.1796541794,0.1383673419,0.0481533039,0.3039232791,0.2618373109,1
1242,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.0555493056,0.2191848899,0.2506493711,0.0997027284,0.2807764262,0.0941372789,1
1243,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.0669135277,0.0913147443,0.1714926943,0.5271338608,0.095152551,0.0479926219,1
1244,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.0329198268,0.1760406774,0.2576322648,0.2186075357,0.2439989453,0.07080075,1
1245,NEU,DISAGREEMENT,OBJECTIVE,86,NONIRONIC,0.2018182436,0.076545022,0.1200516363,0.0935619188,0.4392951055,0.0687280738,0
1246,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.2502344897,0.2407605866,0.0589314834,0.0288271731,0.1046906069,0.3165556603,0
1247,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.0212142528,0.1266887533,0.1912277448,0.3475635065,0.2751172607,0.0381884819,1
1248,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.0230994096,0.1353831604,0.5981571901,0.0227477573,0.1944984166,0.026114066,0
1249,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.1779888928,0.1945469439,0.1314354516,0.1025066265,0.1716974596,0.2218246256,1
1250,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.1585031435,0.182953389,0.1153611319,0.0911337293,0.2777127404,0.174335866,0
1251,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.1462382271,0.2703999507,0.2721730433,0.0500408337,0.0959074342,0.165240511,1
1252,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.1922621402,0.1568315913,0.0791061404,0.0653834463,0.1919223738,0.314494308,0
1253,P,AGREEMENT,SUBJECTIVE,97,NONIRONIC,0.0876492011,0.2308132215,0.2816863578,0.0738102727,0.2495131771,0.0765277697,1
1254,N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.1585036204,0.1994411136,0.1383929218,0.0734093095,0.195255355,0.2349976797,1
1255,NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.2261430805,0.133653845,0.2082040886,0.0,0.1645419432,0.2674570428,1
1256,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.1959946517,0.2016823354,0.1306603373,0.0750158512,0.1399427821,0.2567040422,0
1257,NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.0351381944,0.050526895,0.0887162269,0.0583283962,0.7158841233,0.0514061642,0
1258,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.0758936399,0.2225503701,0.1498701233,0.1034282507,0.2259732573,0.2222843588,0
1259,N+,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.0449555257,0.2490535568,0.4840129013,0.0149838183,0.1655222565,0.0414719415,1
1260,N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.0838798329,0.1146072412,0.1384387846,0.117123897,0.4516956507,0.0942545936,1
1261,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.0216548761,0.1068609295,0.204873825,0.0354118356,0.5996064172,0.0315921165,0
1262,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.1233411375,0.1974811002,0.1954873213,0.1479176648,0.2279861318,0.1077866444,1
1263,P,AGREEMENT,SUBJECTIVE,90,IRONIC,0.1920554558,0.1596099425,0.0704862714,0.0529663703,0.2703503561,0.2545316039,1
