ID,score_tag,agreement,subjectivity,confidence,irony,Happy,Fear,Sad,Bored,Angry,Excited,Class
42,NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.0920341686,0.1421829188,0.1219588647,0.294419753,0.1624680016,0.1869362933,0
43,NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.063467289,0.2551918034,0.2169683448,0.1104899108,0.1629316944,0.1909509576,0
44,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.1270489928,0.3029371712,0.1750406189,0.0344206455,0.1948468088,0.1657057628,0
45,N+,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.0568286764,0.178441183,0.1603844819,0.2225273958,0.2238174853,0.1580007777,0
46,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.4627045235,0.2383990052,0.0817521363,0.0326611847,0.0668402396,0.1176429107,0
47,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.1123712734,0.1661028647,0.1526574327,0.1042290399,0.2863727703,0.178266619,0
48,NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.1738309314,0.2549060578,0.1893915323,0.0662604463,0.1102898932,0.2053211391,0
49,N,AGREEMENT,OBJECTIVE,89,NONIRONIC,0.0634214448,0.1609589082,0.2274315577,0.1290264279,0.3508335347,0.0683281267,0
50,P,AGREEMENT,OBJECTIVE,92,NONIRONIC,0.1296136794,0.1144642722,0.082835397,0.2776916477,0.1962023497,0.199192654,0
51,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.0856109239,0.1877839934,0.2332571902,0.0830114232,0.2935043136,0.1168321558,0
52,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.0769559286,0.1064718058,0.2505384796,0.0895460488,0.4064442002,0.0700435369,0
53,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.1705787618,0.1672753543,0.2179797606,0.0445303703,0.1846332175,0.2150025354,0
54,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.4279813624,0.0972150657,0.0261626751,0.0,0.1239478095,0.3246930873,0
55,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.1306947855,0.3443594356,0.1050874649,0.0604648187,0.1290228444,0.2303706507,0
56,NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.0770755493,0.2012677855,0.2135128043,0.2080947743,0.1977630277,0.1022860589,0
57,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.1255188895,0.255580953,0.1196753141,0.1570826639,0.1362920683,0.2058501111,0
58,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.0207938748,0.1604086674,0.1354926608,0.407263606,0.1599763094,0.1160648816,0
59,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.045948504,0.341520439,0.2319071822,0.0663245578,0.2084223731,0.1058769439,0
60,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.1085129459,0.1416506688,0.1542997515,0.2650486728,0.153735547,0.1767524141,0
61,N+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.0664402077,0.1252117444,0.1396984906,0.2580366609,0.3339389957,0.0766739008,0
62,P,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.1812266025,0.0873997797,0.0559830197,0.0,0.2354279241,0.4399626741,0
63,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.083959725,0.1166175404,0.1813612257,0.0733667628,0.4436011057,0.1010936404,0
64,P,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.1462061529,0.1507744171,0.141840182,0.085068276,0.3104640873,0.1656468847,0
65,NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.1053894986,0.2676482505,0.1709791137,0.0576295213,0.1634999307,0.2348536851,0
66,NONE,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.0720110568,0.3994737088,0.1894022508,0.0348954512,0.1570604091,0.1471571234,1
67,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.0927588005,0.1059514063,0.2533025799,0.0861293563,0.3265369562,0.1353209008,1
68,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.0536670206,0.1682054204,0.2238776319,0.2149717453,0.2883039904,0.0509741914,0
69,P,AGREEMENT,OBJECTIVE,92,NONIRONIC,0.1257778247,0.1642609389,0.1909064182,0.0681009314,0.2658578655,0.1850960213,0
70,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.1415022913,0.1811774064,0.1166260557,0.1098578733,0.2932633436,0.1575730296,0
71,P+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.1459516806,0.1509012191,0.2666387915,0.0734355111,0.2141789505,0.1488938473,1
72,P,AGREEMENT,OBJECTIVE,92,NONIRONIC,0.0500908151,0.1791407205,0.2238350482,0.1363882415,0.3015506485,0.1089945262,0
73,N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.1920410497,0.0868316239,0.1133778835,0.1472532712,0.3490910411,0.1114051306,1
74,N,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.1519545982,0.2563957352,0.1557638505,0.0747963149,0.143728694,0.2173608071,0
75,N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.0498048739,0.1016420062,0.1786160549,0.0387650515,0.5732992118,0.0578728018,0
76,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.0502079533,0.3047537297,0.2148005937,0.0590035226,0.2761428466,0.0950913542,0
77,N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.0350660878,0.1267132873,0.1316461546,0.1330861638,0.5125719942,0.0609163123,0
78,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.0467565099,0.1867545122,0.3409488637,0.1091810809,0.2392572784,0.0771017549,0
79,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.1831126753,0.2408878509,0.1111408694,0.046005105,0.1178421918,0.3010113075,0
80,N,AGREEMENT,OBJECTIVE,92,NONIRONIC,0.0566560778,0.216902427,0.2307589573,0.1968147252,0.1863076943,0.1125601185,0
81,P+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.0436230247,0.1905174895,0.2521722066,0.1236902096,0.3196440169,0.0703530526,0
82,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.1741721217,0.1127261992,0.2238966679,0.0,0.3248030266,0.1644019846,0
83,P,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.0837658841,0.1144530545,0.1671104722,0.0509247137,0.4956323175,0.0881135581,0
84,NONE,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.0773965039,0.1622704868,0.2379250397,0.1073009551,0.3243063678,0.0908006466,0
85,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.0920546989,0.1712371821,0.2223057038,0.0742783804,0.2866765258,0.1534475091,0
